action_pack_gate_reason,city,confidence,decision,delivery_status,domain,index,next_product,order_intent_id,priority,product_code,province,quality_review_status,score,score_request_id,source_deep_order_intent_id,source_url,stage,status,target_name
,Lissone,0.88,buy_deep_analysis,deep_analysis_ready,studiodentisticolissone.com,38,deep_analysis,ord_5051041b,high,deep_analysis,MB,not_applicable,77,target-discovery-100-dentists-lombardy-optimized-20260602-121615-1780395375-score-038,,https://studiodentisticolissone.com/,purchase,,Studio Dentistico Lissone
score below natural action threshold 80,Lissone,0.88,buy_deep_analysis,,studiodentisticolissone.com,38,deep_analysis,,high,action_pack,MB,not_applicable,77,target-discovery-100-dentists-lombardy-optimized-20260602-121615-1780395375-score-038,ord_5051041b,https://studiodentisticolissone.com/,action_pack_not_bought,,Studio Dentistico Lissone
,Como,0.69,watchlist,,studiodentisticocomo.it,39,,,medium,,CO,not_applicable,58,target-discovery-100-dentists-lombardy-optimized-20260602-121615-1780395375-score-039,,https://studiodentisticocomo.it/,score,,Studio Dentistico Como
,Como,0.52,nurture,,studiobrunodonzelli.it,40,nurture_signal,,high,,CO,not_applicable,81,target-discovery-100-dentists-lombardy-optimized-20260602-121615-1780395375-score-040,,https://studiobrunodonzelli.it/,score,,Studio Bruno Donzelli
,Como,0.52,nurture,nurture_signal_ready,studiobrunodonzelli.it,40,nurture_signal,ord_557311ea,high,nurture_signal,CO,not_applicable,81,target-discovery-100-dentists-lombardy-optimized-20260602-121615-1780395375-score-040,,https://studiobrunodonzelli.it/,purchase,,Studio Bruno Donzelli
,Como,0.72,watchlist,,studiofoggiato.it,41,,,medium,,CO,not_applicable,62,target-discovery-100-dentists-lombardy-optimized-20260602-121615-1780395375-score-041,,https://studiofoggiato.it/,score,,Studio Foggiato
,Varese,0.77,watchlist,,studiodentisticomontagna.it,42,,,medium,,VA,not_applicable,51,target-discovery-100-dentists-lombardy-optimized-20260602-121615-1780395375-score-042,,https://studiodentisticomontagna.it/,score,,Studio Dentistico Montagna
,Varese,0.52,nurture,,studiodentisticodallatorre.it,43,nurture_signal,,medium,,VA,not_applicable,70,target-discovery-100-dentists-lombardy-optimized-20260602-121615-1780395375-score-043,,https://studiodentisticodallatorre.it/,score,,Studio Dentistico Dalla Torre
,Varese,0.52,nurture,nurture_signal_ready,studiodentisticodallatorre.it,43,nurture_signal,ord_c7b7effc,medium,nurture_signal,VA,not_applicable,70,target-discovery-100-dentists-lombardy-optimized-20260602-121615-1780395375-score-043,,https://studiodentisticodallatorre.it/,purchase,,Studio Dentistico Dalla Torre
,Varese,0.66,nurture,,studiodentisticocairoli.it,44,nurture_signal,,medium,,VA,not_applicable,69,target-discovery-100-dentists-lombardy-optimized-20260602-121615-1780395375-score-044,,https://studiodentisticocairoli.it/,score,,Studio Dentistico Cairoli
,Varese,0.66,nurture,nurture_signal_ready,studiodentisticocairoli.it,44,nurture_signal,ord_cbfe1842,medium,nurture_signal,VA,not_applicable,69,target-discovery-100-dentists-lombardy-optimized-20260602-121615-1780395375-score-044,,https://studiodentisticocairoli.it/,purchase,,Studio Dentistico Cairoli
,Varese,0.85,nurture,,studiodentisticomasullo.it,45,nurture_signal,,medium,,VA,not_applicable,69,target-discovery-100-dentists-lombardy-optimized-20260602-121615-1780395375-score-045,,https://studiodentisticomasullo.it/,score,,Studio Dentistico Masullo
,Varese,0.85,nurture,nurture_signal_ready,studiodentisticomasullo.it,45,nurture_signal,ord_5c0eb3d3,medium,nurture_signal,VA,not_applicable,69,target-discovery-100-dentists-lombardy-optimized-20260602-121615-1780395375-score-045,,https://studiodentisticomasullo.it/,purchase,,Studio Dentistico Masullo
,Varese,0.52,nurture,,studiopozziodontoiatria.it,46,nurture_signal,,high,,VA,not_applicable,75,target-discovery-100-dentists-lombardy-optimized-20260602-121615-1780395375-score-046,,https://studiopozziodontoiatria.it/,score,,Studio Pozzi Odontoiatria
,Varese,0.52,nurture,nurture_signal_ready,studiopozziodontoiatria.it,46,nurture_signal,ord_dc0fc2e2,high,nurture_signal,VA,not_applicable,75,target-discovery-100-dentists-lombardy-optimized-20260602-121615-1780395375-score-046,,https://studiopozziodontoiatria.it/,purchase,,Studio Pozzi Odontoiatria
,Pavia,0.52,watchlist,,studiodentisticopavia.it,47,,,medium,,PV,not_applicable,55,target-discovery-100-dentists-lombardy-optimized-20260602-121615-1780395375-score-047,,https://studiodentisticopavia.it/,score,,Studio Dentistico Pavia
,Pavia,0.52,watchlist,,dentistapavia.it,48,,,medium,,PV,not_applicable,63,target-discovery-100-dentists-lombardy-optimized-20260602-121615-1780395375-score-048,,https://dentistapavia.it/,score,,Dentista Pavia
,Pavia,0.86,watchlist,,studiodentisticosanmarco.com,49,,,medium,,PV,not_applicable,54,target-discovery-100-dentists-lombardy-optimized-20260602-121615-1780395375-score-049,,https://studiodentisticosanmarco.com/,score,,Studio Dentistico San Marco
,Pavia,0.52,nurture,,studiomascetti.it,50,nurture_signal,,medium,,PV,not_applicable,70,target-discovery-100-dentists-lombardy-optimized-20260602-121615-1780395375-score-050,,https://studiomascetti.it/,score,,Studio Mascetti
,Pavia,0.52,nurture,nurture_signal_ready,studiomascetti.it,50,nurture_signal,ord_918cda88,medium,nurture_signal,PV,not_applicable,70,target-discovery-100-dentists-lombardy-optimized-20260602-121615-1780395375-score-050,,https://studiomascetti.it/,purchase,,Studio Mascetti
,Lecco,0.52,nurture,,studiodentisticolecco.it,51,nurture_signal,,medium,,LC,not_applicable,68,target-discovery-100-dentists-lombardy-optimized-20260602-121615-1780395375-score-051,,https://studiodentisticolecco.it/,score,,Studio Dentistico Lecco
