action_pack_gate_reason,city,commercial_strength,confidence,decision,delivery_status,domain,index,next_product,order_intent_id,priority,product_code,province,quality_review_status,score,score_request_id,source_deep_order_intent_id,source_url,spend_policy,stage,status,target_name
"score, confidence, quality and deep analysis gates passed",Monza,strong,0.88,buy_deep_analysis,action_pack_ready,studiodentistico-russo.it,34,deep_analysis,ord_167aa49,high,action_pack,MB,not_applicable,81,target-discovery-100-dentists-lombardy-strength-routing-20260602-122911-1780396151-score-034,ord_ca98c99b,https://studiodentistico-russo.it/,buy_deep_analysis_then_consider_action_pack_if_deep_confirms,purchase,,Studio Dentistico Russo
,Monza,weak,0.87,watchlist,,studiodentisticocalvi.it,35,,,medium,,MB,not_applicable,63,target-discovery-100-dentists-lombardy-strength-routing-20260602-122911-1780396151-score-035,,https://studiodentisticocalvi.it/,watchlist_only,score,,Studio Dentistico Calvi
,Monza,medium,0.52,nurture,,studiodentisticospreafico.it,36,nurture_signal,,high,,MB,not_applicable,76,target-discovery-100-dentists-lombardy-strength-routing-20260602-122911-1780396151-score-036,,https://studiodentisticospreafico.it/,buy_low_or_mid_cost_next_step_only,score,,Studio Dentistico Spreafico
,Monza,medium,0.52,nurture,nurture_signal_ready,studiodentisticospreafico.it,36,nurture_signal,ord_3d8bc586,high,nurture_signal,MB,not_applicable,76,target-discovery-100-dentists-lombardy-strength-routing-20260602-122911-1780396151-score-036,,https://studiodentisticospreafico.it/,buy_low_or_mid_cost_next_step_only,purchase,,Studio Dentistico Spreafico
,Monza,medium,0.52,nurture,,dentalmonza.it,37,nurture_signal,,medium,,MB,not_applicable,67,target-discovery-100-dentists-lombardy-strength-routing-20260602-122911-1780396151-score-037,,https://dentalmonza.it/,buy_low_or_mid_cost_next_step_only,score,,Dental Monza
,Monza,medium,0.52,nurture,nurture_signal_ready,dentalmonza.it,37,nurture_signal,ord_eda69de2,medium,nurture_signal,MB,not_applicable,67,target-discovery-100-dentists-lombardy-strength-routing-20260602-122911-1780396151-score-037,,https://dentalmonza.it/,buy_low_or_mid_cost_next_step_only,purchase,,Dental Monza
,Lissone,medium,0.88,buy_deep_analysis,,studiodentisticolissone.com,38,deep_analysis,,high,,MB,not_applicable,77,target-discovery-100-dentists-lombardy-strength-routing-20260602-122911-1780396151-score-038,,https://studiodentisticolissone.com/,buy_low_or_mid_cost_next_step_only,score,,Studio Dentistico Lissone
,Lissone,medium,0.88,buy_deep_analysis,deep_analysis_ready,studiodentisticolissone.com,38,deep_analysis,ord_c9809313,high,deep_analysis,MB,not_applicable,77,target-discovery-100-dentists-lombardy-strength-routing-20260602-122911-1780396151-score-038,,https://studiodentisticolissone.com/,buy_low_or_mid_cost_next_step_only,purchase,,Studio Dentistico Lissone
score below natural action threshold 80,Lissone,medium,0.88,buy_deep_analysis,,studiodentisticolissone.com,38,deep_analysis,,high,action_pack,MB,not_applicable,77,target-discovery-100-dentists-lombardy-strength-routing-20260602-122911-1780396151-score-038,ord_c9809313,https://studiodentisticolissone.com/,buy_low_or_mid_cost_next_step_only,action_pack_not_bought,,Studio Dentistico Lissone
,Como,weak,0.69,watchlist,,studiodentisticocomo.it,39,,,medium,,CO,not_applicable,58,target-discovery-100-dentists-lombardy-strength-routing-20260602-122911-1780396151-score-039,,https://studiodentisticocomo.it/,watchlist_only,score,,Studio Dentistico Como
,Como,medium,0.52,nurture,,studiobrunodonzelli.it,40,nurture_signal,,high,,CO,not_applicable,81,target-discovery-100-dentists-lombardy-strength-routing-20260602-122911-1780396151-score-040,,https://studiobrunodonzelli.it/,buy_low_or_mid_cost_next_step_only,score,,Studio Bruno Donzelli
,Como,medium,0.52,nurture,nurture_signal_ready,studiobrunodonzelli.it,40,nurture_signal,ord_deeaf672,high,nurture_signal,CO,not_applicable,81,target-discovery-100-dentists-lombardy-strength-routing-20260602-122911-1780396151-score-040,,https://studiobrunodonzelli.it/,buy_low_or_mid_cost_next_step_only,purchase,,Studio Bruno Donzelli
,Como,weak,0.72,watchlist,,studiofoggiato.it,41,,,medium,,CO,not_applicable,62,target-discovery-100-dentists-lombardy-strength-routing-20260602-122911-1780396151-score-041,,https://studiofoggiato.it/,watchlist_only,score,,Studio Foggiato
,Varese,weak,0.77,watchlist,,studiodentisticomontagna.it,42,,,medium,,VA,not_applicable,51,target-discovery-100-dentists-lombardy-strength-routing-20260602-122911-1780396151-score-042,,https://studiodentisticomontagna.it/,watchlist_only,score,,Studio Dentistico Montagna
,Varese,medium,0.52,nurture,,studiodentisticodallatorre.it,43,nurture_signal,,medium,,VA,not_applicable,70,target-discovery-100-dentists-lombardy-strength-routing-20260602-122911-1780396151-score-043,,https://studiodentisticodallatorre.it/,buy_low_or_mid_cost_next_step_only,score,,Studio Dentistico Dalla Torre
,Varese,medium,0.52,nurture,nurture_signal_ready,studiodentisticodallatorre.it,43,nurture_signal,ord_954d00e4,medium,nurture_signal,VA,not_applicable,70,target-discovery-100-dentists-lombardy-strength-routing-20260602-122911-1780396151-score-043,,https://studiodentisticodallatorre.it/,buy_low_or_mid_cost_next_step_only,purchase,,Studio Dentistico Dalla Torre
,Varese,medium,0.66,nurture,,studiodentisticocairoli.it,44,nurture_signal,,medium,,VA,not_applicable,69,target-discovery-100-dentists-lombardy-strength-routing-20260602-122911-1780396151-score-044,,https://studiodentisticocairoli.it/,buy_low_or_mid_cost_next_step_only,score,,Studio Dentistico Cairoli
,Varese,medium,0.66,nurture,nurture_signal_ready,studiodentisticocairoli.it,44,nurture_signal,ord_7ac992a,medium,nurture_signal,VA,not_applicable,69,target-discovery-100-dentists-lombardy-strength-routing-20260602-122911-1780396151-score-044,,https://studiodentisticocairoli.it/,buy_low_or_mid_cost_next_step_only,purchase,,Studio Dentistico Cairoli
,Varese,medium,0.85,nurture,,studiodentisticomasullo.it,45,nurture_signal,,medium,,VA,not_applicable,69,target-discovery-100-dentists-lombardy-strength-routing-20260602-122911-1780396151-score-045,,https://studiodentisticomasullo.it/,buy_low_or_mid_cost_next_step_only,score,,Studio Dentistico Masullo
,Varese,medium,0.85,nurture,nurture_signal_ready,studiodentisticomasullo.it,45,nurture_signal,ord_e11e225b,medium,nurture_signal,VA,not_applicable,69,target-discovery-100-dentists-lombardy-strength-routing-20260602-122911-1780396151-score-045,,https://studiodentisticomasullo.it/,buy_low_or_mid_cost_next_step_only,purchase,,Studio Dentistico Masullo
,Varese,medium,0.52,nurture,,studiopozziodontoiatria.it,46,nurture_signal,,high,,VA,not_applicable,75,target-discovery-100-dentists-lombardy-strength-routing-20260602-122911-1780396151-score-046,,https://studiopozziodontoiatria.it/,buy_low_or_mid_cost_next_step_only,score,,Studio Pozzi Odontoiatria
,Varese,medium,0.52,nurture,nurture_signal_ready,studiopozziodontoiatria.it,46,nurture_signal,ord_d8d10e8a,high,nurture_signal,VA,not_applicable,75,target-discovery-100-dentists-lombardy-strength-routing-20260602-122911-1780396151-score-046,,https://studiopozziodontoiatria.it/,buy_low_or_mid_cost_next_step_only,purchase,,Studio Pozzi Odontoiatria
,Pavia,weak,0.52,watchlist,,studiodentisticopavia.it,47,,,medium,,PV,not_applicable,55,target-discovery-100-dentists-lombardy-strength-routing-20260602-122911-1780396151-score-047,,https://studiodentisticopavia.it/,watchlist_only,score,,Studio Dentistico Pavia
